AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
9.672575,3.229778,9.176975,0.42843914,-0.46623015,4.301967,8.712623,3.741498,2.5023541,0.2727077,0.3920173,0.8452873,-0.23909049,-0.56147236,-0.5727934,0.5472588,downstairs
6.4643445,5.140351,2.111686,-1.9048362,1.160289,-0.10025716,8.658879,3.8172562,2.5734675,3.603257,0.13528858,-0.21731395,-0.20716499,-0.5708523,-0.54926115,0.5740405,downstairs
4.9703627,6.825869,-2.2146366,-3.5680628,2.7473178,-3.9139295,8.485753,4.4951425,1.9889913,4.2855587,0.75154406,-0.73769563,-0.12607044,-0.6232967,-0.49862048,0.5890545,downstairs
7.8027034,7.0605006,-2.078167,0.5586262,1.5629578,-2.9504175,8.082047,5.449659,1.0733634,4.3729105,0.28655612,-2.0719395,-0.034039237,-0.6739544,-0.45502692,0.58101416,downstairs
7.7093296,6.361394,-2.2529438,0.37173748,-0.19774866,-1.6612866,7.3998413,6.422673,-0.40251523,5.1100736,0.88949585,-1.7544906,0.06847339,-0.7182158,-0.4022046,0.5636568,downstairs
9.485827,6.9982514,-3.4859576,2.4226298,0.30066204,-2.077161,6.972218,6.6975894,-1.6434283,4.2418833,0.8607337,-1.5030881,0.16023669,-0.74707144,-0.33941886,0.5486377,downstairs
6.3781533,4.3502645,-0.4285621,0.75425005,-1.3866048,2.4566116,6.7228417,6.6011763,-2.7199738,5.0520167,3.3481262,-0.34141725,0.26125786,-0.7586851,-0.25134158,0.54126585,downstairs
12.5982895,7.0844426,-4.0797195,4.905965,1.4585314,-1.7672129,7.6923246,5.625911,-2.3125067,2.9305425,3.2666335,0.9768475,0.32304803,-0.7166205,-0.12762055,0.6048207,downstairs
8.39886,5.571307,-2.9017725,0.6726384,0.016670704,-0.6754792,7.867479,5.4612627,-2.1089773,1.1685951,0.304133,-0.46232477,0.34923518,-0.6968233,-0.08878548,0.62015265,downstairs
8.020576,6.279991,-5.329493,0.23429108,0.6952796,-2.6815407,7.7934675,5.4338765,-2.4300797,1.824798,0.1571265,-0.34780884,0.3757836,-0.69475627,-0.0691821,0.60935575,downstairs
