AG-X,AG-Y,AG-Z,Acc-X,Axx-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
-0.3244193,-5.5527196,-2.2657952,-2.1747878,-14.260006,-5.872795,1.7214423,8.917259,3.699933,-1.1646367,-0.44972697,1.386798,0.1313099,0.54722154,0.8253796,0.04532993,downstairs
1.7692289,2.3523593,1.394496,-0.57079697,-12.955242,-5.311201,2.082889,8.7649765,3.8739054,-0.69911647,-0.668106,0.8957115,0.14278,0.53220034,0.833974,0.029395005,downstairs
5.1660175,11.488714,4.12055,2.6497054,2.8606005,0.9090049,2.7238731,8.800445,3.3620036,1.6700295,0.7295197,0.006216479,-0.16676036,-0.54128134,-0.8241292,0.004062893,downstairs
0.88290185,17.051016,7.5987854,-1.6633695,7.8797836,3.194424,2.3439205,9.034185,3.0099719,2.4146488,1.8863959,-2.530176,-0.15257713,-0.5604366,-0.813881,0.015124879,downstairs
5.760096,8.748287,1.9550378,5.305109,-0.15068626,-0.22960782,1.2873152,9.537428,1.8843168,1.1373978,-0.95572716,0.13085231,-0.0773663,-0.6308257,-0.7720011,0.009365421,downstairs
-5.589681,10.880262,3.1240313,-5.321071,0.2643795,4.966695,1.3780917,9.549384,1.7551382,-0.1611584,2.3220887,-0.7490554,-0.089164846,-0.635327,-0.7670561,0.005846327,downstairs
2.6076465,31.323277,3.176732,2.7637956,24.678215,-0.6065185,0.9318269,9.5048485,2.227095,-1.2956641,-0.5210996,-0.039589856,-0.050406747,-0.62215066,-0.78115845,0.013388107,downstairs
3.6424932,12.149866,-2.7017725,2.8984857,-0.88800526,-4.109587,1.2508903,9.421122,2.4182901,1.4889348,1.465617,-0.6318764,-0.061803073,-0.6094239,-0.7899768,0.02682595,downstairs
0.23133174,11.833663,2.6736815,4.600798,10.766798,-2.9726884,1.0113926,9.574075,1.8666995,0.5429808,0.8008924,-0.5796785,-0.044462312,-0.6307072,-0.77418894,0.029377516,downstairs
-1.2826107,13.227832,5.6584473,-1.8588717,3.3809624,4.3915863,0.6669402,9.663377,1.5312498,-0.4892595,0.21819326,-0.41243207,-0.03095881,-0.6512641,-0.7579848,0.018858502,downstairs
-1.9006442,2.0457382,-0.47876832,0.6063787,-2.2176661,0.79619503,0.9166699,9.286278,3.015814,-2.969193,-0.35278797,0.82220834,-0.034581635,-0.605723,-0.7946447,0.021059798,downstairs
-2.6671972,-0.32578552,-1.183039,-4.072945,-8.36733,-3.5906293,1.2553316,8.990876,3.7092679,-1.6770284,-0.25691426,1.27388,-0.058444697,-0.55449456,-0.82966083,0.027980123,downstairs
2.0614774,2.8793647,-0.56500554,-1.6283109,-10.534784,-5.791031,1.7973827,8.680631,4.1936197,-0.87488496,-1.2241735,1.39532,-0.07411324,-0.53238523,-0.84221613,0.041774835,downstairs
3.441273,6.213871,2.276032,0.653826,-2.7827353,-2.6980176,2.399161,8.455821,4.3489637,0.05402484,-0.28248057,0.9724105,-0.10449969,-0.51721853,-0.8471901,0.06191698,downstairs
1.3619976,19.681252,9.668479,-2.041768,12.7637415,4.984269,2.4908268,8.717922,3.7368445,2.7565985,1.7724128,-1.4798262,-0.106385835,-0.5399559,-0.83061856,0.08486751,downstairs
4.4617467,5.2460976,1.2938858,2.0940819,-2.7234797,-0.109758615,1.8095108,9.230924,2.7723858,2.612788,-0.38474587,-1.2902093,-0.05753449,-0.58701766,-0.8028876,0.08643801,downstairs
-1.6419325,11.06711,1.4903151,-3.7001567,2.4571295,1.2854766,1.2275076,9.619823,1.4569176,0.19250908,0.1617343,-0.18553096,-0.030198649,-0.6503494,-0.7564163,0.06299275,downstairs
2.669929,13.266159,-8.058063,-1.9837043,1.9293194,-4.6467934,0.7584962,9.5914545,1.8971249,0.32992813,-1.5469483,-0.6372027,-0.007376897,-0.6375225,-0.7671397,0.07076263,downstairs
