AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
-4.990812,7.248718,-1.5231969,-3.3909507,1.9128857,1.0083437,-4.5440974,8.058709,-3.2525003,0.008218508,-0.11203843,-0.00550142,0.46356142,-0.6722197,-0.5748384,0.052842125,downstairs
-5.4603257,9.672941,-4.450472,-1.2818427,1.6334219,-0.3728969,-4.3943844,8.07996,-3.4020567,0.21381436,0.42698494,0.44297454,0.46398658,-0.67624056,-0.56925607,0.0579886,downstairs
-4.612326,7.684695,-3.2527325,-0.51152205,0.12303448,-0.44780207,-3.7895973,8.282432,-3.6346486,-0.09511205,1.021402,1.2568358,0.4597577,-0.6878772,-0.55504924,0.085838445,downstairs
-0.032170914,6.443837,-4.2540426,2.6255171,-1.2592683,-0.6382408,-3.1106362,8.505807,-3.7610605,-0.073806785,0.85202503,1.261097,0.45492393,-0.69559014,-0.5432302,0.11874145,downstairs
-0.9424528,8.968671,-2.184349,7.3938675,-3.5055742,0.8601277,-2.5237267,8.691391,-3.7763603,-0.3614279,-0.041731033,2.7194426,0.42226326,-0.7157115,-0.53183746,0.16309437,downstairs
-8.842741,13.3092785,-2.5867894,-5.841026,4.184433,2.7911031,-1.4758989,8.989585,-3.6303551,0.13818066,0.32791543,0.04882702,0.3973934,-0.7263566,-0.53019124,0.18270692,downstairs
-0.96161664,8.326683,-12.90172,0.88288915,-0.5164747,-9.130781,-1.9623859,8.85617,-3.7266188,-2.2682495,-2.0177948,-1.7855568,0.43312305,-0.71057254,-0.5234094,0.1831219,downstairs
-4.166767,9.850207,-5.221816,-1.1946323,0.7975302,-5.590146,-2.5147598,8.956901,-3.1016588,-3.106612,-2.6313868,-1.451064,0.4332627,-0.69553566,-0.5471983,0.17055091,downstairs
-6.7011833,10.276602,0.939355,-2.6955695,0.20419693,5.0385723,-3.1628933,9.109483,-1.7843292,-1.3936684,-0.97596717,-1.2859482,0.42381045,-0.63239634,-0.63391244,0.13643543,downstairs
-6.9167767,8.532694,-10.122965,-2.9393148,1.6203327,-4.221241,-4.599057,8.401203,-2.1068597,0.16374698,0.38757017,-3.573069,0.4737984,-0.615979,-0.6177969,0.12004969,downstairs
0.6337721,-2.0122025,-3.2383597,6.1988006,-10.093218,-0.4304316,-5.365316,7.816838,-2.5061557,-0.10043838,0.7359113,-1.0079144,0.5294235,-0.58569604,-0.6072597,0.08891905,downstairs
-0.97119856,2.6925173,1.8065182,-0.6720495,4.8391695,2.3858023,-5.2212753,7.796906,-2.849021,0.73792404,1.9172887,0.16600601,0.5450438,-0.57689744,-0.6021499,0.08678731,downstairs
-3.2181573,11.891154,-7.9670343,1.2766771,4.8529696,-3.853089,-4.978554,7.696255,-3.485977,0.5866566,1.0608168,-0.29099202,0.559387,-0.5843747,-0.5783363,0.10544901,downstairs
0.86852896,5.3850355,-4.4265165,2.711639,1.4830136,-2.7256393,-4.925691,7.6191864,-3.7223597,-0.3795374,0.32045856,-0.10137513,0.5848671,-0.5879437,-0.5468407,0.11496907,downstairs
-10.2417,8.594976,1.6436257,-3.7230306,1.8490796,3.1208348,-4.8275495,7.877605,-3.2876284,-0.5702196,-0.3229606,-0.41136682,0.5768741,-0.58012474,-0.55928487,0.1336863,downstairs
-7.280889,6.3911366,-2.63949,-0.5627589,-3.86968,-0.75754976,-4.9063973,7.909299,-3.0887923,-0.9270829,-0.17382371,0.40355977,0.5702637,-0.57261693,-0.5707857,0.14530261,downstairs
-10.256073,7.8859153,-4.6373186,-3.9075327,-3.47E-04,-3.94941,-4.1679535,8.32564,-3.0793302,-0.61283016,-0.4071164,2.5330215,0.540519,-0.6038885,-0.563859,0.15881106,downstairs
-2.259966,7.1337347,-7.142989,7.673974,-7.0268593,3.4026895,-3.389987,8.755486,-2.8319366,-0.92814815,-0.79487234,2.8845584,0.5271401,-0.6124718,-0.56372976,0.17091031,downstairs
1.4913535,2.7691727,3.0042574,3.8687696,-7.5188665,0.8007829,-1.4454204,9.36581,-2.5224469,-0.60750383,-0.6180386,3.6334388,0.43614528,-0.66323435,-0.5566884,0.24493983,downstairs
-1.4119666,13.021821,-0.68477947,-0.17183992,-1.7495613,-1.1794076,0.39637467,9.485638,-2.4568136,0.14670277,0.7763913,1.8725581,0.38491786,-0.6887653,-0.5455616,0.2824945,downstairs
0.2361227,6.635475,-4.733138,-1.1296662,0.37620258,-3.892893,1.0062153,9.451901,-2.4123592,-1.3382746,-0.043861557,0.5186082,0.35038114,-0.70510614,-0.51786286,0.3344794,downstairs
-0.9807804,7.76135,2.0077384,-4.3265424,-0.68842316,6.793194,1.1238303,9.516344,-2.0848424,-2.6208518,-0.9035292,-1.4691736,0.34429944,-0.7010325,-0.52362996,0.34032777,downstairs
-5.637591,14.880712,7.838333,-4.0863004,3.268857,6.504724,0.27750838,9.78153,-0.6442401,-0.5755459,-0.22495636,-1.9112579,0.3146907,-0.6506837,-0.6180477,0.3091885,downstairs
-0.48731184,11.862409,-2.3424506,-0.25708288,1.5060797,-0.5516926,-0.8937334,9.761779,-0.281593,-0.62987435,-0.72243446,0.044565964,0.3308772,-0.6381806,-0.6434461,0.26310256,downstairs
